                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.58337,                0.41479,                0.90631,                0.89217,                0.84775,                 0.8852,                0.67179,                0.90562,                0.71854,                 1.0696,              0.0008021,              0.0008021,              0.0008021
                    123,                0.56223,                0.40266,                0.90635,                0.91283,                0.84426,                0.90009,                0.68564,                0.86221,                 0.7209,                 1.0347,              0.0007922,              0.0007922,              0.0007922
                    124,                0.60284,                0.42704,                0.90708,                0.86752,                0.85879,                0.90038,                0.68572,                0.88091,                0.74283,                 1.0543,              0.0007823,              0.0007823,              0.0007823
                    125,                 0.5909,                0.41853,                0.91418,                 0.8394,                0.87827,                 0.8905,                0.68034,                0.88623,                 0.7358,                 1.0547,              0.0007724,              0.0007724,              0.0007724
                    126,                0.56556,                0.39772,                0.91247,                0.85829,                0.87295,                0.88737,                0.67185,                0.89832,                0.73196,                 1.0437,              0.0007625,              0.0007625,              0.0007625
                    127,                0.61303,                0.42065,                0.91217,                0.86819,                0.86381,                0.88742,                0.67239,                0.89809,                0.72577,                 1.0503,              0.0007526,              0.0007526,              0.0007526
                    128,                0.58029,                0.40791,                0.90378,                0.87324,                0.84836,                0.87605,                0.67361,                0.89815,                0.71799,                 1.0522,              0.0007427,              0.0007427,              0.0007427
                    129,                0.58652,                0.40428,                0.90013,                0.83179,                0.87295,                0.87384,                0.67675,                0.87557,                0.72688,                 1.0452,              0.0007328,              0.0007328,              0.0007328
                    130,                0.57768,                 0.4027,                0.91677,                0.88906,                0.82787,                0.88456,                0.67833,                0.90641,                0.76409,                 1.0583,              0.0007229,              0.0007229,              0.0007229
                    131,                0.58253,                0.40447,                0.91478,                0.85027,                0.87705,                0.89286,                0.68685,                0.88511,                0.71794,                 1.0223,               0.000713,               0.000713,               0.000713
                    132,                0.60776,                0.42302,                0.92574,                0.88919,                0.86475,                0.89011,                0.67983,                0.86905,                0.69716,                 1.0297,              0.0007031,              0.0007031,              0.0007031
                    133,                0.61523,                0.42739,                0.91336,                0.87507,                0.86475,                0.88861,                0.67045,                0.89332,                0.70479,                 1.0466,              0.0006932,              0.0006932,              0.0006932
                    134,                0.58697,                0.42009,                0.90982,                 0.8647,                0.89057,                0.90392,                0.68145,                0.88914,                0.66906,                 1.0346,              0.0006833,              0.0006833,              0.0006833
                    135,                0.60352,                 0.4209,                0.90371,                 0.8736,                0.87808,                0.90108,                0.68153,                0.86159,                0.68594,                 1.0191,              0.0006734,              0.0006734,              0.0006734
                    136,                0.55619,                0.39172,                0.89928,                0.88699,                0.86851,                0.90127,                0.67072,                0.89748,                0.67738,                 1.0251,              0.0006635,              0.0006635,              0.0006635
                    137,                0.58003,                0.39802,                0.90621,                0.88002,                0.87171,                0.89813,                0.67588,                0.88664,                0.68688,                 1.0255,              0.0006536,              0.0006536,              0.0006536
                    138,                0.55175,                0.38565,                0.91996,                0.90668,                 0.8362,                0.88806,                0.67341,                0.87581,                0.71314,                 1.0347,              0.0006437,              0.0006437,              0.0006437
                    139,                0.54988,                0.39165,                0.89105,                0.89428,                0.84426,                0.88759,                0.68597,                0.88136,                 0.7271,                  1.035,              0.0006338,              0.0006338,              0.0006338
                    140,                0.55007,                0.38305,                 0.9093,                0.90878,                0.85739,                0.89836,                 0.6927,                 0.8871,                0.71343,                 1.0389,              0.0006239,              0.0006239,              0.0006239
                    141,                0.53629,                0.37489,                0.89727,                0.92421,                0.88115,                0.90581,                0.69313,                0.89966,                 0.6901,                 1.0316,               0.000614,               0.000614,               0.000614
                    142,                0.54943,                0.40047,                0.89604,                0.89087,                0.86989,                0.89026,                 0.6873,                0.88631,                0.70582,                 1.0342,              0.0006041,              0.0006041,              0.0006041
                    143,                0.54707,                0.39526,                0.89677,                 0.9164,                0.85361,                0.90089,                0.67815,                0.88786,                0.70926,                 1.0327,              0.0005942,              0.0005942,              0.0005942
                    144,                0.52755,                0.38014,                0.90083,                 0.9357,                  0.835,                0.89343,                0.66746,                 0.9283,                0.71971,                 1.0353,              0.0005843,              0.0005843,              0.0005843
                    145,                0.53837,                0.38817,                0.90027,                0.87845,                0.85895,                0.89362,                0.68621,                0.87899,                0.73964,                 1.0247,              0.0005744,              0.0005744,              0.0005744
                    146,                0.52534,                0.37866,                0.89159,                 0.8679,                0.87705,                0.89428,                0.68091,                0.86222,                0.70515,                 1.0266,              0.0005645,              0.0005645,              0.0005645
                    147,                0.56384,                0.38709,                0.89309,                0.91221,                0.85246,                0.89184,                0.68598,                0.85389,                0.69555,                 1.0255,              0.0005546,              0.0005546,              0.0005546
                    148,                 0.5272,                0.36596,                0.90066,                0.88785,                0.87705,                0.89033,                0.68054,                 0.8709,                0.69972,                 1.0454,              0.0005447,              0.0005447,              0.0005447
                    149,                0.56261,                0.38603,                0.88917,                0.88975,                0.86475,                0.88271,                 0.6823,                0.87789,                0.70312,                 1.0359,              0.0005348,              0.0005348,              0.0005348
                    150,                0.55163,                0.38249,                 0.8908,                0.89073,                0.86885,                0.88697,                0.67924,                0.88517,                0.70771,                 1.0484,              0.0005249,              0.0005249,              0.0005249
                    151,                0.51429,                0.36939,                0.89306,                0.88933,                0.86885,                0.88723,                0.69106,                0.87572,                0.71639,                 1.0386,               0.000515,               0.000515,               0.000515
                    152,                0.53282,                0.37364,                0.90024,                0.88866,                0.85246,                 0.8821,                0.69754,                0.84535,                0.71572,                 1.0281,              0.0005051,              0.0005051,              0.0005051
